rule_id,visual,answer,most_frequent_output,correctness
101,color,C,C,True
66,circle,C,A,False
91,circle,B,D,False
118,circle,D,D,True
151,leftright,D,B,False
231,leftright,C,A,False
318,circle,A,D,False
33,leftright,B,A,False
20,color,B,C,False
68,circle,C,B,False
104,leftright,B,B,True
94,circle,B,B,True
250,leftright,C,D,False
256,leftright,D,A,False
233,circle,D,C,False
98,color,C,D,False
329,leftright,B,D,False
149,circle,A,C,False
193,color,C,A,False
67,circle,B,B,True
147,circle,D,B,False
283,color,D,B,False
87,leftright,B,B,True
226,color,D,C,False
292,circle,C,A,False
78,color,A,C,False
295,color,B,D,False
81,color,D,B,False
187,leftright,B,C,False
168,leftright,B,B,True
31,color,C,A,False
327,circle,C,C,True
12,color,D,D,True
31,leftright,B,C,False
167,color,B,B,True
103,leftright,C,C,True
309,leftright,A,B,False
311,circle,B,C,False
185,circle,A,B,False
100,leftright,B,B,True
296,leftright,D,D,True
53,leftright,C,C,True
311,color,C,B,False
323,leftright,D,C,False
217,circle,A,C,False
236,circle,A,D,False
104,circle,A,D,False
108,circle,C,A,False
208,leftright,C,B,False
244,circle,A,A,True
224,leftright,D,A,False
156,color,B,B,True
207,leftright,D,B,False
88,circle,A,C,False
225,circle,D,B,False
314,color,D,D,True
257,circle,B,D,False
216,circle,C,B,False
99,circle,B,B,True
45,color,D,D,True
103,circle,D,D,True
152,circle,A,A,True
286,circle,C,C,True
23,circle,A,C,False
220,color,B,D,False
56,circle,A,C,False
146,circle,C,C,True
229,circle,A,C,False
42,circle,D,D,True
10,leftright,B,C,False
199,color,C,B,False
97,leftright,A,B,False
300,leftright,C,C,True
61,leftright,D,A,False
48,leftright,A,A,True
299,circle,D,C,False
67,color,B,A,False
282,color,C,C,True
228,color,D,C,False
175,circle,D,B,False
153,circle,C,A,False
315,color,A,C,False
290,color,D,D,True
298,leftright,C,C,True
283,leftright,C,C,True
263,color,C,D,False
292,leftright,B,C,False
117,circle,C,C,True
271,circle,C,C,True
75,leftright,B,B,True
222,leftright,D,A,False
87,color,C,C,True
214,color,B,C,False
225,color,B,B,True
291,circle,A,B,False
241,leftright,C,A,False
40,leftright,C,D,False
243,color,A,D,False
5,leftright,B,C,False
212,leftright,B,B,True
17,color,D,B,False
113,leftright,D,C,False
223,leftright,D,C,False
181,leftright,C,D,False
156,leftright,D,D,True
215,leftright,A,A,True
88,leftright,D,B,False
89,circle,D,C,False
214,leftright,C,D,False
59,circle,C,C,True
312,leftright,A,B,False
308,color,B,D,False
51,color,C,A,False
329,circle,A,B,False
205,color,B,D,False
128,leftright,D,D,True
49,leftright,B,A,False
228,circle,C,B,False
93,circle,C,B,False
306,leftright,B,B,True
95,circle,D,C,False
210,color,C,C,True
285,leftright,B,A,False
190,circle,B,C,False
109,leftright,A,D,False
112,circle,D,D,True
153,leftright,B,B,True
182,color,A,B,False
255,circle,D,D,True
230,circle,B,A,False
129,color,D,D,True
245,color,A,C,False
131,leftright,A,A,True
161,color,D,C,False
171,color,C,D,False
252,leftright,A,B,False
71,leftright,D,A,False
79,leftright,B,C,False
206,color,D,A,False
181,color,D,A,False
82,color,B,B,True
41,leftright,A,C,False
187,circle,C,D,False
263,circle,C,B,False
160,color,B,B,True
298,circle,B,B,True
304,leftright,B,C,False
231,circle,A,B,False
58,circle,B,D,False
313,color,C,C,True
82,leftright,D,C,False
194,leftright,D,B,False
46,circle,D,D,True
330,leftright,C,C,True
10,color,B,D,False
102,color,A,B,False
200,color,C,D,False
18,color,D,B,False
148,leftright,B,C,False
245,leftright,B,C,False
55,circle,D,D,True
269,color,B,D,False
272,color,D,C,False
42,leftright,B,B,True
121,circle,B,D,False
192,color,B,B,True
220,leftright,C,C,True
87,circle,C,C,True
71,circle,B,D,False
289,leftright,D,C,False
76,leftright,D,A,False
256,circle,A,D,False
79,color,A,C,False
275,leftright,C,B,False
297,color,C,D,False
212,color,A,A,True
109,color,A,B,False
92,leftright,C,B,False
45,circle,C,C,True
237,color,C,D,False
8,color,B,B,True
117,leftright,A,A,True
261,circle,D,C,False
65,color,C,C,True
48,circle,C,B,False
121,color,A,C,False
23,color,B,C,False
277,circle,A,A,True
242,leftright,D,D,True
325,color,A,A,True
171,circle,C,D,False
131,color,A,D,False
248,leftright,C,A,False
200,circle,D,C,False
278,leftright,D,A,False
96,circle,B,B,True
67,leftright,D,B,False
60,circle,D,B,False
63,leftright,C,A,False
180,circle,C,C,True
262,leftright,A,A,True
221,color,B,D,False
170,circle,C,A,False
261,leftright,B,C,False
301,leftright,B,D,False
312,color,D,C,False
257,leftright,C,A,False
239,color,D,C,False
287,leftright,A,B,False
185,color,C,C,True
243,circle,C,D,False
85,color,B,A,False
317,circle,A,D,False
172,circle,D,B,False
221,leftright,D,B,False
242,circle,D,D,True
224,color,D,B,False
16,circle,A,B,False
266,leftright,B,A,False
202,color,C,C,True
296,circle,D,D,True
36,circle,B,A,False
13,leftright,A,C,False
162,circle,A,A,True
276,leftright,A,C,False
156,circle,C,C,True
38,circle,A,D,False
72,color,D,C,False
235,circle,A,A,True
204,circle,B,B,True
104,color,B,C,False
115,color,A,C,False
247,color,D,D,True
258,circle,A,A,True
196,leftright,C,B,False
109,circle,D,B,False
91,leftright,C,C,True
236,leftright,A,D,False
45,leftright,B,C,False
245,circle,C,D,False
173,leftright,C,B,False
238,circle,D,B,False
106,circle,D,D,True
66,color,B,D,False
28,color,D,D,True
320,circle,B,D,False
176,color,C,A,False
84,color,B,B,True
43,color,B,B,True
163,circle,A,B,False
55,leftright,C,C,True
303,color,D,D,True
267,circle,B,C,False
186,circle,A,D,False
90,circle,B,A,False
279,leftright,B,A,False
80,leftright,A,C,False
290,circle,A,B,False
209,leftright,B,A,False
5,color,A,A,True
74,leftright,D,B,False
6,circle,D,D,True
328,color,A,D,False
214,circle,C,B,False
259,leftright,A,D,False
197,leftright,A,A,True
260,circle,A,C,False
39,color,D,D,True
222,color,C,B,False
246,color,A,C,False
249,circle,A,A,True
264,circle,A,A,True
149,leftright,B,A,False
129,circle,D,D,True
316,leftright,C,B,False
258,leftright,B,B,True
163,color,A,D,False
253,leftright,D,B,False
232,leftright,A,B,False
266,color,C,D,False
275,color,B,D,False
195,leftright,A,C,False
206,leftright,B,C,False
58,leftright,B,C,False
178,leftright,C,B,False
193,circle,B,A,False
92,circle,B,D,False
198,color,A,D,False
27,circle,D,C,False
22,circle,A,C,False
105,color,A,B,False
27,color,A,D,False
131,circle,C,C,True
153,color,B,D,False
238,leftright,A,C,False
232,color,C,D,False
49,circle,A,D,False
21,leftright,A,C,False
112,color,D,D,True
90,leftright,B,B,True
24,color,C,D,False
65,circle,C,C,True
186,leftright,D,B,False
324,color,C,B,False
317,leftright,D,D,True
280,circle,D,B,False
124,leftright,C,D,False
209,circle,B,A,False
21,color,B,D,False
29,circle,C,A,False
47,leftright,C,C,True
250,color,A,B,False
202,leftright,B,B,True
119,leftright,A,A,True
99,leftright,B,B,True
165,color,A,A,True
308,circle,B,D,False
267,leftright,A,C,False
184,color,C,C,True
9,leftright,A,B,False
290,leftright,B,B,True
164,color,D,D,True
162,leftright,B,B,True
54,circle,B,C,False
286,color,A,A,True
36,leftright,D,C,False
66,leftright,D,B,False
307,circle,D,C,False
288,circle,B,B,True
265,color,A,D,False
165,circle,B,C,False
52,circle,C,B,False
334,circle,D,D,True
235,leftright,B,B,True
16,color,A,D,False
15,circle,C,D,False
106,leftright,B,B,True
332,color,D,C,False
120,circle,B,B,True
119,color,B,D,False
332,circle,D,C,False
126,color,D,C,False
164,circle,D,D,True
244,color,A,A,True
265,circle,B,D,False
85,leftright,C,B,False
128,color,C,C,True
167,circle,D,D,True
313,leftright,A,B,False
159,color,A,C,False
56,leftright,A,D,False
200,leftright,C,A,False
323,circle,B,B,True
288,leftright,A,A,True
335,color,D,D,True
194,circle,C,D,False
205,leftright,A,B,False
122,circle,D,A,False
230,color,A,B,False
26,color,C,B,False
93,leftright,D,C,False
276,color,D,C,False
58,color,B,D,False
198,circle,D,D,True
158,leftright,D,D,True
317,color,C,C,True
125,color,C,D,False
53,color,D,D,True
83,color,A,D,False
303,circle,B,B,True
218,circle,C,C,True
65,leftright,C,B,False
51,circle,B,C,False
149,color,D,C,False
252,color,D,B,False
73,leftright,B,A,False
322,circle,B,C,False
301,circle,C,D,False
229,leftright,C,B,False
211,circle,D,D,True
264,color,C,A,False
89,color,B,A,False
21,circle,D,A,False
269,leftright,A,B,False
41,circle,C,B,False
220,circle,C,C,True
14,leftright,C,B,False
114,color,A,B,False
310,color,B,B,True
334,color,D,D,True
178,color,A,C,False
34,circle,A,C,False
101,leftright,D,D,True
269,circle,A,D,False
15,leftright,D,B,False
294,circle,B,B,True
75,circle,C,D,False
228,leftright,A,B,False
80,color,D,B,False
164,leftright,B,B,True
313,circle,D,A,False
219,leftright,A,B,False
169,color,B,C,False
231,color,A,B,False
311,leftright,A,D,False
196,color,A,C,False
183,color,B,D,False
40,circle,D,B,False
178,circle,B,D,False
44,circle,B,B,True
118,leftright,D,D,True
302,leftright,D,C,False
192,circle,C,C,True
88,color,D,B,False
161,circle,D,B,False
152,leftright,D,D,True
284,circle,C,B,False
44,color,D,D,True
86,color,B,B,True
125,leftright,C,C,True
127,circle,D,D,True
71,color,D,C,False
187,color,A,B,False
208,circle,C,D,False
23,leftright,C,A,False
163,leftright,D,C,False
192,leftright,D,D,True
26,leftright,D,B,False
8,circle,B,B,True
286,leftright,C,C,True
204,leftright,A,C,False
69,leftright,C,A,False
285,color,D,C,False
180,leftright,A,B,False
13,color,A,D,False
100,color,B,D,False
98,circle,A,C,False
50,color,C,C,True
201,color,B,B,True
274,leftright,D,D,True
182,circle,A,D,False
219,circle,C,D,False
294,leftright,A,C,False
50,leftright,D,D,True
179,circle,B,C,False
204,color,A,C,False
201,leftright,D,C,False
288,color,A,A,True
239,leftright,D,A,False
81,leftright,B,A,False
64,leftright,C,C,True
241,circle,D,B,False
297,leftright,A,D,False
86,circle,B,B,True
326,circle,C,C,True
205,circle,C,D,False
210,leftright,B,B,True
333,color,D,D,True
330,circle,B,B,True
105,circle,A,C,False
17,circle,D,C,False
284,color,C,B,False
94,color,C,C,True
305,color,C,D,False
118,color,C,C,True
309,color,D,D,True
64,color,C,C,True
272,leftright,A,C,False
19,color,D,B,False
331,color,C,C,True
179,color,D,C,False
115,leftright,D,C,False
36,color,A,D,False
77,leftright,B,C,False
119,circle,D,D,True
25,leftright,A,A,True
63,color,C,D,False
62,circle,D,B,False
51,leftright,B,D,False
282,circle,C,D,False
148,color,D,B,False
293,circle,A,A,True
196,circle,A,C,False
169,leftright,C,B,False
54,color,C,C,True
323,color,B,D,False
295,leftright,D,C,False
73,color,D,B,False
68,leftright,D,C,False
111,color,D,D,True
270,circle,B,B,True
154,color,A,A,True
285,circle,C,A,False
150,color,A,A,True
96,leftright,D,D,True
318,leftright,A,C,False
190,leftright,B,C,False
235,color,C,C,True
295,circle,B,D,False
237,leftright,A,C,False
329,color,A,C,False
314,circle,B,A,False
147,color,A,C,False
11,leftright,A,D,False
107,leftright,B,B,True
333,circle,D,D,True
207,circle,D,D,True
56,color,B,B,True
249,leftright,C,C,True
47,color,B,D,False
14,circle,C,B,False
262,circle,D,D,True
81,circle,A,B,False
239,circle,C,D,False
249,color,C,C,True
167,leftright,B,B,True
273,color,A,C,False
266,circle,D,A,False
232,circle,C,B,False
327,color,D,D,True
183,circle,D,C,False
281,leftright,D,D,True
107,color,A,A,True
84,leftright,A,A,True
122,leftright,B,C,False
324,circle,A,C,False
251,leftright,C,B,False
44,leftright,A,A,True
217,leftright,D,B,False
210,circle,A,A,True
166,circle,D,D,True
57,color,C,C,True
327,leftright,D,C,False
222,circle,C,D,False
331,leftright,D,D,True
216,color,A,C,False
42,color,B,B,True
250,circle,D,D,True
122,color,C,B,False
123,circle,B,B,True
102,leftright,D,B,False
213,color,B,B,True
298,color,C,C,True
40,color,C,C,True
5,circle,A,B,False
179,leftright,C,B,False
177,leftright,D,B,False
293,color,D,C,False
82,circle,D,C,False
25,color,A,B,False
76,color,A,C,False
29,color,B,C,False
197,circle,A,A,True
335,leftright,A,A,True
289,circle,B,A,False
325,circle,A,D,False
25,circle,A,A,True
24,leftright,B,C,False
320,leftright,C,B,False
97,color,B,D,False
130,leftright,C,A,False
115,circle,D,D,True
185,leftright,B,B,True
157,circle,B,C,False
319,leftright,B,B,True
304,circle,B,A,False
61,circle,C,C,True
322,leftright,D,A,False
90,color,C,C,True
240,circle,D,B,False
188,color,B,A,False
278,circle,B,D,False
77,circle,D,D,True
299,color,A,D,False
279,color,D,B,False
158,circle,B,B,True
314,leftright,B,C,False
132,circle,D,C,False
120,color,A,B,False
291,color,B,D,False
241,color,D,D,True
62,color,B,C,False
132,leftright,A,A,True
268,color,B,B,True
212,circle,A,B,False
59,leftright,D,B,False
182,leftright,A,C,False
12,leftright,A,C,False
150,circle,D,D,True
190,color,D,B,False
37,leftright,B,C,False
12,circle,A,D,False
218,leftright,D,D,True
150,leftright,C,C,True
188,circle,B,A,False
218,color,D,D,True
106,color,D,D,True
308,leftright,A,C,False
127,leftright,A,A,True
310,circle,D,D,True
277,leftright,D,D,True
22,leftright,D,B,False
328,leftright,C,C,True
219,color,C,D,False
333,leftright,D,D,True
259,circle,B,C,False
83,circle,D,A,False
276,circle,A,C,False
155,circle,D,A,False
