rule_id,visual,model_output,groundtruth
153,leftright,Characters on the right side in the image are characters that contain at least one right angle.,"are made with a single stroke, without backtracking or looping"
154,circle,Characters inside the circle in the image are characters that contain a loop.,resemble the letter p
154,color,Characters colored red in the image are characters that contain a small circle.,resemble the letter p
154,leftright,Characters on the right side in the image are characters that contain a loop.,resemble the letter p
155,circle,Characters inside the circle in the image are characters that contain a closed loop.,"have a complete downward loop and are closed at the top, like an irregular U-shaped curve"
155,color,Characters colored red in the image are characters that contain a closed loop.,"have a complete downward loop and are closed at the top, like an irregular U-shaped curve"
155,leftright,Characters on the right side in the image are characters that contain a small loop.,"have a complete downward loop and are closed at the top, like an irregular U-shaped curve"
156,circle,Characters inside the circle in the image are characters that contain a vertical line.,are either 7s or have a small horizontal line at the top and a vertical stroke
156,color,Characters colored red in the image are characters that have a small horizontal line at the top.,are either 7s or have a small horizontal line at the top and a vertical stroke
156,leftright,Characters on the right side in the image are characters that have a small hook or curve at the top.,are either 7s or have a small horizontal line at the top and a vertical stroke
157,circle,Characters inside the circle in the image are characters that have a vertical line.,are a straight vertical line with no base or hook at the bottom
157,color,Characters colored red in the image are characters that have a small horizontal line at the top.,are a straight vertical line with no base or hook at the bottom
157,leftright,Characters on the right side in the image are characters that contain a vertical line.,are a straight vertical line with no base or hook at the bottom
158,circle,Characters inside the circle in the image are characters that contain a closed loop.,contain a closed loop or enclosed space in the character or graph
158,color,Characters colored red in the image are characters that contain a loop or enclosed area.,contain a closed loop or enclosed space in the character or graph
158,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,contain a closed loop or enclosed space in the character or graph
159,circle,Characters inside the circle in the image are characters that contain a closed loop.,contain crossing lines or a four-way intersection
159,color,Characters colored red in the image are characters that contain a loop.,contain crossing lines or a four-way intersection
159,leftright,Characters on the right side in the image are characters that contain a loop.,contain crossing lines or a four-way intersection
15,circle,Characters inside the circle in the image are characters that contain a horizontal line.,have lines that cross each other
15,color,Characters colored red in the image are characters that contain a loop or circular shape.,have lines that cross each other
15,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,have lines that cross each other
160,circle,Characters inside the circle in the image are characters that contain a closed loop.,contain multiple lines or require lifting the pen or backtracking to write the character
160,color,Characters colored red in the image are characters that contain a curved line.,contain multiple lines or require lifting the pen or backtracking to write the character
160,leftright,Characters on the right side in the image are characters that contain at least one diagonal line.,contain multiple lines or require lifting the pen or backtracking to write the character
161,circle,Characters inside the circle in the image are characters that are symmetrical along a vertical axis.,resemble letters in the Latin alphabet or Western alphabet
161,color,Characters colored red in the image are characters that contain a closed loop or circle.,resemble letters in the Latin alphabet or Western alphabet
161,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,resemble letters in the Latin alphabet or Western alphabet
162,circle,Characters inside the circle in the image are characters that contain a closed loop.,contain only curved lines without any straight lines; may look like eyes
162,color,Characters colored red in the image are characters that contain a closed loop or circle.,contain only curved lines without any straight lines; may look like eyes
162,leftright,Characters on the right side in the image are characters that contain a closed loop.,contain only curved lines without any straight lines; may look like eyes
163,circle,Characters inside the circle in the image are characters that contain a loop or circular shape.,have a curved bottom
163,color,Characters colored red in the image are characters that contain a closed loop or circle.,have a curved bottom
163,leftright,Characters on the right side in the image are characters that contain at least one closed loop.,have a curved bottom
164,circle,Characters inside the circle in the image are characters that contain a loop or circular shape.,resemble a letter 'w' or have two sharp elbows on the floor
164,color,"Characters colored red in the image are characters that contain a ""W"" shape.",resemble a letter 'w' or have two sharp elbows on the floor
164,leftright,"Characters on the right side in the image are characters that contain a ""W"" shape.",resemble a letter 'w' or have two sharp elbows on the floor
165,circle,Characters inside the circle in the image are characters that contain a loop.,contain non-joined segments or separated shapes
165,color,Characters colored red in the image are characters that contain a horizontal line.,contain non-joined segments or separated shapes
165,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,contain non-joined segments or separated shapes
166,circle,Characters inside the circle in the image are characters that contain a loop.,contain a closed shape with a small hook at the top left (like a small s) followed by a long curve that rises in a slanted right segment
166,color,Characters colored red in the image are characters that contain a small circle or dot.,contain a closed shape with a small hook at the top left (like a small s) followed by a long curve that rises in a slanted right segment
166,leftright,Characters on the right side in the image are characters that contain a loop.,contain a closed shape with a small hook at the top left (like a small s) followed by a long curve that rises in a slanted right segment
167,circle,Characters inside the circle in the image are characters that have a closed loop or circle.,"have at least one fully enclosed shape, including closed loops, enclosed spaces, and fully or partially closed figures"
167,color,Characters colored red in the image are characters that contain a closed loop or circle.,"have at least one fully enclosed shape, including closed loops, enclosed spaces, and fully or partially closed figures"
167,leftright,Characters on the right side in the image are characters that contain a closed loop or circle.,"have at least one fully enclosed shape, including closed loops, enclosed spaces, and fully or partially closed figures"
168,circle,Characters inside the circle in the image are characters that contain a loop.,have at least one bridge
168,color,Characters colored red in the image are characters that contain a loop.,have at least one bridge
168,leftright,Characters on the right side in the image are characters that contain a loop.,have at least one bridge
169,circle,Characters inside the circle in the image are characters that contain a straight vertical line.,have straight lines and no curves
169,color,Characters colored red in the image are characters that consist of a single straight line.,have straight lines and no curves
169,leftright,Characters on the right side in the image are characters that consist of only straight lines.,have straight lines and no curves
16,circle,Characters inside the circle in the image are characters that contain a vertical line.,have at least one enclosed space or loop
16,color,Characters colored red in the image are characters that have a loop or enclosed area.,have at least one enclosed space or loop
16,leftright,Characters on the right side in the image are characters that have a loop or enclosed area.,have at least one enclosed space or loop
170,circle,Characters inside the circle in the image are characters that contain curved lines.,contain a w-squiggle
170,color,"Characters colored red in the image are characters that contain a ""W"" shape.",contain a w-squiggle
170,leftright,"Characters on the right side in the image are characters that contain a ""W"" shape.",contain a w-squiggle
171,circle,Characters inside the circle in the image are characters that contain a straight vertical line.,"are made of one stroke with one acute angle, resembling a 7 or a rotation of it"
171,color,Characters colored red in the image are characters that have a single continuous stroke without any breaks.,"are made of one stroke with one acute angle, resembling a 7 or a rotation of it"
171,leftright,Characters on the right side in the image are characters that consist of a single continuous line without any intersections or enclosed areas.,"are made of one stroke with one acute angle, resembling a 7 or a rotation of it"
172,circle,Characters inside the circle in the image are characters that have a closed loop or circle.,have a triangle shape at the top connected to a descending line
172,color,Characters colored red in the image are characters that contain a closed loop.,have a triangle shape at the top connected to a descending line
172,leftright,Characters on the right side in the image are characters that contain a small loop or circle.,have a triangle shape at the top connected to a descending line
173,circle,Characters inside the circle in the image are characters that have a closed loop or circle.,have a rough triangle pointing lower-left
173,color,Characters colored red in the image are characters that contain a closed triangular shape.,have a rough triangle pointing lower-left
173,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,have a rough triangle pointing lower-left
174,circle,Characters inside the circle in the image are characters that contain a closed loop or circle.,"contain at least one enclosed shape, such as a circle or triangle, that can be coloured in"
174,color,Characters colored red in the image are characters that contain a closed loop or circle.,"contain at least one enclosed shape, such as a circle or triangle, that can be coloured in"
174,leftright,Characters on the right side in the image are characters that contain a closed loop or circle.,"contain at least one enclosed shape, such as a circle or triangle, that can be coloured in"
175,circle,Characters inside the circle in the image are characters that contain a closed loop.,"have two parts touching the floor, with straight or curved lines ending at the same level at the base"
175,color,Characters colored red in the image are characters that contain a loop or closed curve.,"have two parts touching the floor, with straight or curved lines ending at the same level at the base"
175,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,"have two parts touching the floor, with straight or curved lines ending at the same level at the base"
176,circle,Characters inside the circle in the image are characters that consist of a single straight line.,are made of only one straight line
176,color,Characters colored red in the image are characters that contain a straight vertical or diagonal line.,are made of only one straight line
176,leftright,Characters on the right side in the image are characters that consist of a single straight line.,are made of only one straight line
177,circle,Characters inside the circle in the image are characters that contain a curve.,exceed the average size of the character set in height or width
177,color,Characters colored red in the image are characters that contain at least one sharp angle.,exceed the average size of the character set in height or width
177,leftright,Characters on the right side in the image are characters that contain at least one straight line.,exceed the average size of the character set in height or width
178,circle,Characters inside the circle in the image are characters that have a closed loop.,have a vertical loop-shaped cross
178,color,Characters colored red in the image are characters that contain a loop.,have a vertical loop-shaped cross
178,leftright,Characters on the right side in the image are characters that have a loop or circular shape.,have a vertical loop-shaped cross
179,circle,Characters inside the circle in the image are characters that have a closed loop.,are composed of three lines forming two acute angles
179,color,Characters colored red in the image are characters that have a sharp angle or corner.,are composed of three lines forming two acute angles
179,leftright,Characters on the right side in the image are characters that contain a horizontal line.,are composed of three lines forming two acute angles
17,circle,Characters inside the circle in the image are characters that contain a vertical line.,have a vertical line with a right angle at the bottom pointing towards the right
17,color,Characters colored red in the image are characters that have a vertical line intersecting a horizontal line.,have a vertical line with a right angle at the bottom pointing towards the right
17,leftright,Characters on the right side in the image are characters that contain a vertical line on the left side.,have a vertical line with a right angle at the bottom pointing towards the right
180,circle,Characters inside the circle in the image are characters that contain a closed loop.,contain a horizontal line and a descending curve from one end of the line
180,color,Characters colored red in the image are characters that have a horizontal line at the bottom.,contain a horizontal line and a descending curve from one end of the line
180,leftright,Characters on the right side in the image are characters that have a small loop or circle at the top.,contain a horizontal line and a descending curve from one end of the line
181,circle,Characters inside the circle in the image are characters that do not have a curve.,contain a vertical symmetry axis
181,color,Characters colored red in the image are characters that do not contain any curves.,contain a vertical symmetry axis
181,leftright,Characters on the right side in the image are characters that contain a closed loop.,contain a vertical symmetry axis
182,circle,Characters inside the circle in the image are characters that contain a closed loop.,contain an enclosed space or loop
182,color,Characters colored red in the image are characters that contain a closed loop.,contain an enclosed space or loop
182,leftright,Characters on the right side in the image are characters that contain a closed loop.,contain an enclosed space or loop
183,circle,Characters inside the circle in the image are characters that have a horizontal line at the top.,contain a square shape with a diagonal line and two enclosed spaces
183,color,Characters colored red in the image are characters that have a small diagonal line extending from the top right.,contain a square shape with a diagonal line and two enclosed spaces
183,leftright,Characters on the right side in the image are characters that contain a vertical line with a small horizontal line at the top.,contain a square shape with a diagonal line and two enclosed spaces
184,circle,Characters inside the circle in the image are characters that have a vertical line intersecting a horizontal line.,contain a hook shape
184,color,Characters colored red in the image are characters that have a horizontal line at the bottom.,contain a hook shape
184,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,contain a hook shape
185,circle,Characters inside the circle in the image are characters that have a vertical line.,contain a circle or circles
185,color,Characters colored red in the image are characters that have a small circle or dot above them.,contain a circle or circles
185,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,contain a circle or circles
186,circle,Characters inside the circle in the image are characters that have a vertical line.,have two parallel vertical straight lines with small filled-in triangles connected to the left vertical line
186,color,Characters colored red in the image are characters that have a vertical line on the right side.,have two parallel vertical straight lines with small filled-in triangles connected to the left vertical line
186,leftright,Characters on the right side in the image are characters that have a vertical line on the right side.,have two parallel vertical straight lines with small filled-in triangles connected to the left vertical line
187,circle,Characters inside the circle in the image are characters that have a horizontal line at the top.,"contain something like a diamond, rhomboid or square shape in the middle"
187,color,Characters colored red in the image are characters that contain a small triangle.,"contain something like a diamond, rhomboid or square shape in the middle"
187,leftright,Characters on the right side in the image are characters that have a diagonal line.,"contain something like a diamond, rhomboid or square shape in the middle"
188,circle,Characters inside the circle in the image are characters that have a horizontal line at the top.,contain diagonal lines
188,color,Characters colored red in the image are characters that contain a vertical line with a small horizontal line at the top.,contain diagonal lines
188,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,contain diagonal lines
189,circle,Characters inside the circle in the image are characters that contain a vertical line.,have no curves and consist of only straight lines and triangles
189,color,Characters colored red in the image are characters that have a vertical line on the right side.,have no curves and consist of only straight lines and triangles
189,leftright,Characters on the right side in the image are characters that contain a diagonal line.,have no curves and consist of only straight lines and triangles
18,circle,Characters inside the circle in the image are characters that contain three horizontal lines.,look like symbols for Spotify and WiFi
18,color,Characters colored red in the image are characters that contain multiple horizontal lines stacked vertically.,look like symbols for Spotify and WiFi
18,leftright,Characters on the right side in the image are characters that contain three horizontal lines.,look like symbols for Spotify and WiFi
190,circle,Characters inside the circle in the image are characters that have a vertical line on the left side.,have a right vertical that does not touch the top triangle and a short side-bar with a diagonal top
190,color,Characters colored red in the image are characters that have a vertical line on the right side.,have a right vertical that does not touch the top triangle and a short side-bar with a diagonal top
190,leftright,Characters on the right side in the image are characters that have a vertical line extending below the main body of the character.,have a right vertical that does not touch the top triangle and a short side-bar with a diagonal top
191,circle,Characters inside the circle in the image are characters that have a vertical line on the right side.,have a horizontal line connecting two or more vertical legs and contain an H-like shape
191,color,Characters colored red in the image are characters that have a vertical line on the right side.,have a horizontal line connecting two or more vertical legs and contain an H-like shape
191,leftright,Characters on the right side in the image are characters that have a vertical line on the right side.,have a horizontal line connecting two or more vertical legs and contain an H-like shape
192,circle,Characters inside the circle in the image are characters that have a vertical line on the left side.,have a top triangle that is not independent and is linked to the character below at the bottom point
192,color,Characters colored red in the image are characters that have a vertical line on the right side.,have a top triangle that is not independent and is linked to the character below at the bottom point
192,leftright,Characters on the right side in the image are characters that have a vertical line on the right side.,have a top triangle that is not independent and is linked to the character below at the bottom point
193,circle,Characters inside the circle in the image are characters that have a horizontal line at the top.,contain two separate inner elements and a variety of other decorations
193,color,Characters colored red in the image are characters that have a small horizontal line at the bottom.,contain two separate inner elements and a variety of other decorations
193,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,contain two separate inner elements and a variety of other decorations
194,circle,Characters inside the circle in the image are characters that have a vertical line on the left side.,contain a horizontal Nike swoosh shape or similar variation
194,color,Characters colored red in the image are characters that have a horizontal line at the bottom.,contain a horizontal Nike swoosh shape or similar variation
194,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,contain a horizontal Nike swoosh shape or similar variation
195,circle,Characters inside the circle in the image are characters that have a horizontal line at the top.,"contain elements that are not connected to the main character, including separate elements, floating bits, and detached elements"
195,color,Characters colored red in the image are characters that have a horizontal line at the bottom.,"contain elements that are not connected to the main character, including separate elements, floating bits, and detached elements"
195,leftright,Characters on the right side in the image are characters that have a vertical line on the right side.,"contain elements that are not connected to the main character, including separate elements, floating bits, and detached elements"
196,circle,Characters inside the circle in the image are characters that contain a loop.,have a closed loop
196,color,Characters colored red in the image are characters that contain a small circle or dot.,have a closed loop
196,leftright,Characters on the right side in the image are characters that contain a loop or circle.,have a closed loop
197,circle,Characters inside the circle in the image are characters that have a single vertical line.,resemble an L (right-side up and upside down)
197,color,Characters colored red in the image are characters that have a single curved line.,resemble an L (right-side up and upside down)
